country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Argentina,ARG,1/9/2021,,,,,11942,,,,264,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,1/10/2021,,,,,13365,,,,296,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,1/11/2021,,,,,14788,,,,327,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,1/12/2021,,,,,14056,,,,311,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,1/13/2021,166833,,,,13323,0.37,,,295,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,1/14/2021,,,,,13320,,,,295,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,1/15/2021,200759,,,,13317,0.44,,,295,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,1/16/2021,,,,,12971,,,,287,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,1/17/2021,,,,,12624,,,,279,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,1/18/2021,,,,,12278,,,,272,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,1/19/2021,,,,,11932,,,,264,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,1/20/2021,247933,243539,4394,,11586,0.55,0.54,0.01,256,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,1/21/2021,265724,249372,16352,17791,11704,0.59,0.55,0.04,259,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,1/22/2021,279602,254456,25146,13878,11263,0.62,0.56,0.06,249,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,1/23/2021,288064,258876,29188,8462,11124,0.64,0.57,0.06,246,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,1/24/2021,292023,260036,31987,3959,10342,0.65,0.58,0.07,229,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,1/25/2021,292386,260122,32264,363,9046,0.65,0.58,0.07,200,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,1/26/2021,305880,266969,38911,13494,9626,0.68,0.59,0.09,213,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,1/27/2021,318033,272323,45710,12153,10014,0.7,0.6,0.1,222,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,1/28/2021,327999,276548,51451,9966,8896,0.73,0.61,0.11,197,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,1/29/2021,344034,278451,65583,16035,9205,0.76,0.62,0.15,204,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,1/30/2021,366384,281023,85361,22350,11189,0.81,0.62,0.19,248,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,1/31/2021,,,,,11299,,,,250,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Argentina,ARG,2/1/2021,375851,281577,94274,,11924,0.83,0.62,0.21,264,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Austria,AUT,1/10/2021,6784,6784,,,,0.08,0.08,,,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
Austria,AUT,1/11/2021,11559,11559,,4775,4775,0.13,0.13,,530,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
Austria,AUT,1/12/2021,13172,13172,,1613,3194,0.15,0.15,,355,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
Austria,AUT,1/13/2021,20064,20064,,6892,4427,0.22,0.22,,492,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
Austria,AUT,1/14/2021,29359,29359,,9295,5644,0.33,0.33,,627,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
Austria,AUT,1/15/2021,39751,39751,,10392,6593,0.44,0.44,,732,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
Austria,AUT,1/16/2021,50402,50402,,10651,7270,0.56,0.56,,807,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
Austria,AUT,1/17/2021,55450,55450,,5048,6952,0.62,0.62,,772,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
Austria,AUT,1/18/2021,61012,60708,304,5562,7065,0.68,0.67,0,784,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
Austria,AUT,1/19/2021,71508,70474,1034,10496,8334,0.79,0.78,0.01,925,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
Austria,AUT,1/20/2021,88895,86888,2007,17387,9833,0.99,0.96,0.02,1092,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
Austria,AUT,1/21/2021,108252,105038,3214,19357,11270,1.2,1.17,0.04,1251,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
Austria,AUT,1/22/2021,124756,121216,3540,16504,12144,1.39,1.35,0.04,1348,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
Austria,AUT,1/23/2021,136348,132105,4243,11592,12278,1.51,1.47,0.05,1363,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
Austria,AUT,1/24/2021,139538,135249,4289,3190,12013,1.55,1.5,0.05,1334,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
Austria,AUT,1/25/2021,141350,137044,4306,1812,11477,1.57,1.52,0.05,1274,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
Austria,AUT,1/26/2021,150933,146587,4346,9583,11346,1.68,1.63,0.05,1260,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
Austria,AUT,1/27/2021,158985,153859,5126,8052,10013,1.77,1.71,0.06,1112,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
Austria,AUT,1/28/2021,169439,163806,5633,10454,8741,1.88,1.82,0.06,971,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
Austria,AUT,1/29/2021,181419,174262,7157,11980,8095,2.01,1.93,0.08,899,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
Austria,AUT,1/30/2021,197179,183628,13551,15760,8690,2.19,2.04,0.15,965,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
Austria,AUT,1/31/2021,200498,185291,15207,3319,8709,2.23,2.06,0.17,967,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
Austria,AUT,2/1/2021,202345,186479,15866,1847,8714,2.25,2.07,0.18,968,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
Austria,AUT,2/2/2021,208988,189926,19062,6643,8294,2.32,2.11,0.21,921,Pfizer/BioNTech,Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406
Bahrain,BHR,12/23/2020,38965,38965,,,,2.29,2.29,,,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1356709170318372864
Bahrain,BHR,12/24/2020,50071,50071,,11106,11106,2.94,2.94,,6527,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1356709170318372864
Bahrain,BHR,12/25/2020,50543,50543,,472,5789,2.97,2.97,,3402,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1356709170318372864
Bahrain,BHR,12/26/2020,51556,51556,,1013,4197,3.03,3.03,,2467,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1356709170318372864
Bahrain,BHR,12/27/2020,53614,53614,,2058,3662,3.15,3.15,,2152,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1356709170318372864
Bahrain,BHR,12/28/2020,55014,55014,,1400,3210,3.23,3.23,,1886,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1356709170318372864
Bahrain,BHR,12/29/2020,56041,56041,,1027,2846,3.29,3.29,,1673,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1356709170318372864
Bahrain,BHR,12/30/2020,57317,57317,,1276,2622,3.37,3.37,,1541,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1356709170318372864
Bahrain,BHR,12/31/2020,58643,58643,,1326,1225,3.45,3.45,,720,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1356709170318372864
Bahrain,BHR,1/1/2021,59351,59351,,708,1258,3.49,3.49,,739,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1356709170318372864
Bahrain,BHR,1/2/2021,60097,60097,,746,1220,3.53,3.53,,717,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1356709170318372864
Bahrain,BHR,1/3/2021,60689,60689,,592,1011,3.57,3.57,,594,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1356709170318372864
Bahrain,BHR,1/4/2021,61612,61612,,923,943,3.62,3.62,,554,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1356709170318372864
Bahrain,BHR,1/5/2021,63893,63893,,2281,1122,3.75,3.75,,659,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1356709170318372864
Bahrain,BHR,1/6/2021,68472,68472,,4579,1594,4.02,4.02,,937,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1356709170318372864
Bahrain,BHR,1/7/2021,72239,72239,,3767,1942,4.25,4.25,,1141,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1356709170318372864
Bahrain,BHR,1/8/2021,78291,78291,,6052,2706,4.6,4.6,,1590,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1356709170318372864
Bahrain,BHR,1/9/2021,84157,84157,,5866,3437,4.95,4.95,,2020,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1356709170318372864
Bahrain,BHR,1/10/2021,89250,89250,,5093,4080,5.25,5.25,,2398,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1356709170318372864
Bahrain,BHR,1/11/2021,92598,92598,,3348,4427,5.44,5.44,,2602,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1356709170318372864
Bahrain,BHR,1/12/2021,97776,97776,,5178,4840,5.75,5.75,,2844,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1356709170318372864
Bahrain,BHR,1/13/2021,101363,101363,,3587,4699,5.96,5.96,,2762,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1356709170318372864
Bahrain,BHR,1/14/2021,109566,109566,,8203,5332,6.44,6.44,,3134,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1356709170318372864
Bahrain,BHR,1/15/2021,122819,122819,,13253,6361,7.22,7.22,,3738,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1356709170318372864
Bahrain,BHR,1/16/2021,137159,137159,,14340,7572,8.06,8.06,,4450,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1356709170318372864
Bahrain,BHR,1/17/2021,141563,141563,,4404,7473,8.32,8.32,,4392,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1356709170318372864
Bahrain,BHR,1/18/2021,142831,142831,,1268,7176,8.39,8.39,,4217,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1356709170318372864
Bahrain,BHR,1/19/2021,143596,143596,,765,6546,8.44,8.44,,3847,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1356709170318372864
Bahrain,BHR,1/20/2021,144130,144130,,534,6110,8.47,8.47,,3591,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1356709170318372864
Bahrain,BHR,1/21/2021,,,,,5457,,,,3207,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1356709170318372864
Bahrain,BHR,1/22/2021,,,,,4084,,,,2400,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1356709170318372864
Bahrain,BHR,1/23/2021,,,,,2555,,,,1502,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1356709170318372864
Bahrain,BHR,1/24/2021,,,,,2445,,,,1437,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1356709170318372864
Bahrain,BHR,1/25/2021,,,,,2784,,,,1636,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1356709170318372864
Bahrain,BHR,1/26/2021,165953,165953,,,3194,9.75,9.75,,1877,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1356709170318372864
Bahrain,BHR,1/27/2021,167731,167731,,1778,3372,9.86,9.86,,1982,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1356709170318372864
Bahrain,BHR,1/28/2021,169440,169440,,1709,3096,9.96,9.96,,1819,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1356709170318372864
Bahrain,BHR,1/29/2021,169810,169810,,370,2629,9.98,9.98,,1545,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1356709170318372864
Bahrain,BHR,1/30/2021,170433,170433,,623,2199,10.02,10.02,,1292,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1356709170318372864
Bahrain,BHR,1/31/2021,171568,171568,,1135,1841,10.08,10.08,,1082,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1356709170318372864
Bahrain,BHR,2/1/2021,172912,172912,,1344,1514,10.16,10.16,,890,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1356709170318372864
Bahrain,BHR,2/2/2021,174075,174075,,1163,1160,10.23,10.23,,682,"Pfizer/BioNTech, Sinopharm",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1356709170318372864
Belgium,BEL,12/28/2020,298,298,,,,0,0,,,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,12/29/2020,299,299,,1,1,0,0,,0,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,12/30/2020,778,778,,479,240,0.01,0.01,,21,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,12/31/2020,787,787,,9,163,0.01,0.01,,14,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,1/1/2021,794,794,,7,124,0.01,0.01,,11,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,1/2/2021,,,,,99,,,,9,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,1/3/2021,,,,,83,,,,7,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,1/4/2021,795,795,,,71,0.01,0.01,,6,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,1/5/2021,2316,2316,,1521,288,0.02,0.02,,25,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,1/6/2021,6179,6179,,3863,772,0.05,0.05,,67,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,1/7/2021,14235,14235,,8056,1921,0.12,0.12,,166,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,1/8/2021,23371,23371,,9136,3225,0.2,0.2,,278,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,1/9/2021,26548,26548,,3177,3679,0.23,0.23,,317,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,1/10/2021,26943,26943,,395,3735,0.23,0.23,,322,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,1/11/2021,32376,32376,,5433,4512,0.28,0.28,,389,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,1/12/2021,47852,47852,,15476,6505,0.41,0.41,,561,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,1/13/2021,68134,68134,,20282,8851,0.59,0.59,,764,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,1/14/2021,89405,89405,,21271,10739,0.77,0.77,,927,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,1/15/2021,111762,111762,,22357,12627,0.96,0.96,,1090,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,1/16/2021,116731,116731,,4969,12883,1.01,1.01,,1112,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
Belgium,BEL,1/17/2021,119862,119862,,3131,13274,1.03,1.03,,1145,"Moderna, Pfizer/BioNTech",Sciensano,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/hOMwB
